2016-03-22 16:27:49.428	INFO	start ArmWeightBlooming1
2016-03-22 16:27:49.618	DEBUG	assigned(_SQuery)
2016-03-22 16:27:50.652	DEBUG	assigned(_SQuery)
2016-03-22 16:27:51.654	DEBUG	assigned(_SQuery)
2016-03-22 16:27:52.656	DEBUG	assigned(_SQuery)
2016-03-22 16:27:53.659	DEBUG	assigned(_SQuery)
2016-03-22 16:27:54.664	DEBUG	assigned(_SQuery)
2016-03-22 16:27:55.668	DEBUG	assigned(_SQuery)
2016-03-22 16:27:56.672	DEBUG	assigned(_SQuery)
2016-03-22 16:27:56.701	DEBUG	send_error | 0
2016-03-22 16:27:57.751	DEBUG	assigned(_SQuery)
2016-03-22 16:27:58.755	DEBUG	assigned(_SQuery)
2016-03-22 16:27:59.759	DEBUG	assigned(_SQuery)
2016-03-22 16:28:00.765	DEBUG	assigned(_SQuery)
2016-03-22 16:28:00.774	DEBUG	send_error | 0
2016-03-22 16:28:01.840	DEBUG	assigned(_SQuery)
2016-03-22 16:28:02.847	DEBUG	assigned(_SQuery)
2016-03-22 16:28:03.852	DEBUG	assigned(_SQuery)
2016-03-22 16:28:04.856	DEBUG	assigned(_SQuery)
2016-03-22 16:28:04.887	DEBUG	send_error | 0
2016-03-22 16:28:05.938	DEBUG	assigned(_SQuery)
2016-03-22 16:28:06.943	DEBUG	assigned(_SQuery)
2016-03-22 16:28:07.947	DEBUG	assigned(_SQuery)
2016-03-22 16:28:08.953	DEBUG	assigned(_SQuery)
2016-03-22 16:28:09.957	DEBUG	assigned(_SQuery)
2016-03-22 16:28:09.967	DEBUG	send_error | 0
2016-03-22 16:28:11.029	DEBUG	assigned(_SQuery)
2016-03-22 16:28:12.033	DEBUG	assigned(_SQuery)
2016-03-22 16:28:13.035	DEBUG	assigned(_SQuery)
2016-03-22 16:28:14.037	DEBUG	assigned(_SQuery)
2016-03-22 16:28:14.043	DEBUG	send_error | 0
2016-03-22 16:28:15.092	DEBUG	assigned(_SQuery)
2016-03-22 16:28:16.096	DEBUG	assigned(_SQuery)
2016-03-22 16:28:17.099	DEBUG	assigned(_SQuery)
2016-03-22 16:28:18.103	DEBUG	assigned(_SQuery)
